Group,Name,Status,Type,Position X [voxel],Position Y [voxel],Position Z [voxel],Direction X,Direction Y,Direction Z,Normal X,Normal Y,Normal Z,Radius [mm],Conicity [deg],Form [mm],Peak [mm],Valley [mm],Construction method,Image,Focused image,Histogram image,Captures,Coordinate system,Centroid X [voxel],Centroid Y [voxel],Centroid Z [voxel]
n/a,Line 123,Ok,Line,927,1290,29,0.74,-0.67,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,932,1285,29
n/a,Line 124,Ok,Line,845,1313,13,-0.43,0.90,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,846,1310,12
n/a,Line 125,Ok,Line,774,1154,9,0.88,0.47,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,787,1161,10
n/a,Line 126,Ok,Line,915,1167,6,-0.44,0.90,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,919,1158,5
n/a,Line 127,Ok,Line,820,1018,13,0.75,-0.66,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,819,1019,13
n/a,Line 128,Ok,Line,879,1132,122,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,876,1132,122
n/a,Line 129,Ok,Line,970,1482,49,-0.38,0.92,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,985,1443,49
n/a,Line 130,Ok,Line,742,1454,80,0.96,-0.28,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,747,1453,80
n/a,Line 131,Ok,Line,865,1429,1,0.76,-0.65,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,864,1429,1
n/a,Line 132,Ok,Line,1091,1395,48,0.26,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1091,1397,48
n/a,Line 133,Ok,Line,1089,1297,39,-0.37,0.93,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1090,1295,39
n/a,Line 134,Ok,Line,1221,1236,27,0.27,0.96,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1221,1235,27
n/a,Line 135,Ok,Line,1233,1286,27,0.29,0.96,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1233,1285,27
n/a,Line 136,Ok,Line,1305,1217,79,0.71,-0.71,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1307,1215,79
n/a,Line 137,Ok,Line,1025,1047,37,0.25,0.97,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1023,1041,37
n/a,Line 138,Ok,Line,943,1137,37,0.94,-0.34,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,920,1145,38
